物品名称,物品ID
金币,0
复活币,1
PvP胜点,2
遗忘河之水,3
普通金库,4
铜质金库升级工具,5
银质金库升级工具,6
黄金金库升级工具,7
雷米的援助,8
冒险家礼包1,9
猫头鹰,10
冒险家礼包2,11
黄金蜜蜡,14
装备品级调整箱,15
阿拉德大陆商贸许可证,16
勇猛之契约,18
守护之契约,19
祝福之契约,20
装扮合成器,21
成员店礼品,22
成员店礼品,23
宠物饲料,24
宠物换名卡,25
农府媚蜡瘤鼻茄辑,26
挑战者包裹,27
遗忘河水滴,28
挑战者礼品,29
霸王之契约(1天),30
霸王之契约(3天),31
霸王之契约(5天),32
霸王之契约(7天),33
霸王之契约(15天),34
霸王之契约(试用),35
服务器喇叭,36
频道喇叭,37
鬼剑士福包,38
格斗家福包,39
神枪手福包,40
魔法师福包,41
复活币,42
达人之契约(1天),43
达人之契约(3天),44
达人之契约(7天),45
达人之契约(15天),46
达人之契约(试用),47
优惠卡,48
达人之契约(活动),49
金库升级工具,50
无限猫头鹰,51
野生力量套装(熊),52
野生力量套装(狐狸),53
野生力量套装(麒麟),54
野生力量套装(猫),55
野生力量套装(狮子),56
金库升级工具,57
金库升级工具,58
金库升级工具,59
金库升级工具,60
金库升级工具,61
金库升级工具,62
海之勇者礼包1(鬼剑士),63
海之勇者礼包1(格斗家),64
海之勇者礼包1(神枪手),65
海之勇者礼包1(魔法师),66
海之勇者礼包1(圣职者),67
黄金金库升级工具,68
海之勇者礼包2(鬼剑士),69
海之勇者礼包2(格斗家),70
海之勇者礼包2(神枪手),71
海之勇者礼包2(魔法师),72
海之勇者礼包2(圣职者),73
月下之赐教1(鬼剑士礼包),74
月下之赐教2(鬼剑士礼包),75
月下之赐教1(格斗家礼包),76
月下之赐教2(格斗家礼包),77
月下之赐教1(神枪手礼包),78
月下之赐教2(神枪手礼包),79
月下之赐教1(魔法师礼包),80
月下之赐教2(魔法师礼包),81
月下之赐教1(圣职者礼包),82
月下之赐教2(圣职者礼包),83
name_84,84
name_85,85
name_86,86
name_87,87
name_88,88
name_89,89
name_90,90
name_91,91
name_92,92
name_93,93
name_94,94
name_95,95
name_96,96
name_97,97
name_98,98
name_99,99
name_100,100
name_101,101
name_102,102
name_103,103
name_104,104
name_105,105
name_106,106
name_107,107
name_108,108
遗忘河水滴,109
银质金库升级工具,110
name_111,111
name_112,112
name_113,113
name_114,114
name_115,115
