名称,ID
狂龙的裁断,27101
精良的狂龙的裁断,27153
残忍之弑短剑 : [冰刃·波动剑],500000
秘技之境短剑 : [冰刃·波动剑],500001
神之怒击短剑 : [冰刃·波动剑],500002
敏捷之灵短剑 : [修罗邪光斩],500003
禁锢之限短剑 : [修罗邪光斩],500004
残忍之弑短剑 : [不动明王阵],500005
禁锢之限短剑 : [不动明王阵],500006
神之怒击短剑 : [不动明王阵],500007
残忍之弑短剑 : [鬼斩],500008
禁锢之限短剑 : [鬼斩],500009
神之怒击短剑 : [鬼斩],500010
禁锢之限短剑 : [刀魂之卡赞],500011
残忍之弑短剑 : [冰霜之萨亚],500012
禁锢之限短剑 : [冰霜之萨亚],500013
残忍之弑短剑 : [鬼影闪],500014
神之怒击短剑 : [鬼影闪],500015
残忍之弑短剑 : [拔刀斩],500016
神之怒击短剑 : [拔刀斩],500017
残忍之弑短剑 : [破军升龙击],500018
疾风之影短剑 : [破军升龙击],500019
残忍之弑短剑 : [猛龙断空斩],500020
神之怒击短剑 : [猛龙断空斩],500021
残忍之弑短剑 : [幻影剑舞],500022
神之怒击短剑 : [幻影剑舞],500023
加持的残忍之弑短剑 : [冰刃·波动剑],500024
加持的秘技之境短剑 : [冰刃·波动剑],500025
加持的神之怒击短剑 : [冰刃·波动剑],500026
加持的敏捷之灵短剑 : [修罗邪光斩],500027
加持的禁锢之限短剑 : [修罗邪光斩],500028
加持的残忍之弑短剑 : [不动明王阵],500029
加持的禁锢之限短剑 : [不动明王阵],500030
加持的神之怒击短剑 : [不动明王阵],500031
加持的残忍之弑短剑 : [鬼斩],500032
加持的禁锢之限短剑 : [鬼斩],500033
加持的神之怒击短剑 : [鬼斩],500034
加持的禁锢之限短剑 : [刀魂之卡赞],500035
加持的残忍之弑短剑 : [冰霜之萨亚],500036
加持的禁锢之限短剑 : [冰霜之萨亚],500037
加持的残忍之弑短剑 : [鬼影闪],500038
加持的神之怒击短剑 : [鬼影闪],500039
加持的残忍之弑短剑 : [拔刀斩],500040
加持的神之怒击短剑 : [拔刀斩],500041
加持的残忍之弑短剑 : [破军升龙击],500042
加持的疾风之影短剑 : [破军升龙击],500043
加持的残忍之弑短剑 : [猛龙断空斩],500044
加持的神之怒击短剑 : [猛龙断空斩],500045
加持的残忍之弑短剑 : [幻影剑舞],500046
加持的神之怒击短剑 : [幻影剑舞],500047
时光之袭短剑 : [鬼印珠],500048
秘技之境短剑 : [鬼印珠],500049
禁锢之限短剑 : [鬼印珠],500050
时光之源短剑 : [鬼印珠],500051
神之怒击短剑 : [鬼印珠],500052
残忍之弑短剑 : [邪光斩],500053
时光之源短剑 : [不动明王阵],500054
加持的禁锢之限短剑 : [鬼印珠],500055
加持的时光之源短剑 : [鬼印珠],500056
加持的神之怒击短剑 : [鬼印珠],500057
加持的残忍之弑短剑 : [邪光斩],500058
加持的时光之源短剑 : [不动明王阵],500059
苍鹰之眸短剑,500060
黑山流波短剑,500061
暗影之怒短剑,500062
削肉断骨短剑,500063
黑暗之刃短剑,500064
冥炎之灵短剑,500065
幻影之怒短剑,500066
领域支配者短剑,500067
加持的时光之袭短剑 : [鬼印珠],500068
加持的秘技之境短剑 : [鬼印珠],500069
疾风之影短剑 : [冰刃·波动剑],500070
加持的疾风之影短剑 : [冰刃·波动剑],500071
精·加持的残忍之弑短剑 : [冰刃·波动剑],500072
