名称,ID
"测试事件 1",0
"复活币",1
"决斗胜点",2
"遗忘河之水",3
"普通金库",4
"铜质金库升级工具",5
"银质金库升级工具",6
"黄金金库升级工具",7
"雷米的援助",8
"",9
"猫头鹰（1次）",10
"冒险家礼包 2",11
"黄金蜜蜡",14
"装备品级调整箱",15
"阿拉德大陆商贸许可证",16
"勇猛之契约",18
"守护之契约",19
"祝福之契约",20
"装扮合成器",21
"成员店礼品",22
"成员店礼品",23
"宠物饲料",24
"宠物换名卡",25
觼葬药 嵘虽 掏и怃,26
"挑战者包裹",27
"遗忘河水滴",28
"挑战者礼品",29
"霸王之契约 (1天)",30
"霸王之契约 (3天)",31
"霸王之契约 (5天)",32
"霸王之契约 (7天)",33
"霸王之契约 (15天)",34
"霸王之契约",35
"服务器喇叭",36
"频道喇叭",37
"鬼剑士礼包",38
"格斗家礼包",39
"神枪手礼包",40
"魔法师礼包",41
"复活币",42
"达人之契约 (1天)",43
"达人之契约 (3天)",44
"达人之契约 (7天)",45
"达人之契约 (15天)",46
"达人之契约",47
"优惠卡",48
"达人之契约 (活动)",49
"金库升级工具",50
"无限猫头鹰",51
"野生力量套装 (熊)",52
"野生力量套装 (狐狸)",53
"野生力量套装 (麒麟)",54
"野生力量套装 (猫)",55
"野生力量套装 (狮子)",56
"金库升级工具",57
"金库升级工具",58
"金库升级工具",59
"金库升级工具",60
"金库升级工具",61
"金库升级工具",62
"海之勇者礼包 1 (鬼剑士)",63
"海之勇者礼包 1 (格斗家)",64
"海之勇者礼包 1 (神枪手)",65
"海之勇者礼包 1 (魔法师)",66
"海之勇者礼包 1 (圣职者)",67
"黄金金库升级工具",68
"海之勇者礼包 2 (鬼剑士)",69
"海之勇者礼包 2 (格斗家)",70
"海之勇者礼包 2 (神枪手)",71
"海之勇者礼包 2 (魔法师)",72
"海之勇者礼包 2 (圣职者)",73
"月下之赐教 1 (鬼剑士礼包)",74
"福胖胖",75
"月下之赐教 1 (格斗家礼包)",76
"月下之赐教 2 (格斗家礼包)",77
"月下之赐教 1 (神枪手礼包)",78
"月下之赐教 2 (神枪手礼包)",79
"月下之赐教 1 (魔法师礼包)",80
"月下之赐教 2 (魔法师礼包)",81
"",82
"",83
"",84
"",85
"",86
"",87
"",88
"",89
"",90
"",91
"",92
"",93
"",94
"",95
"",96
"",97
"",98
"",99
"格拉卡",100
"恭喜发财礼包1（方实）",101
"恭喜发财礼包2（梦实）",102
"恭喜发财礼包1（方实）",103
"恭喜发财礼包2（梦实）",104
"恭喜发财礼包1（方实）",105
"恭喜发财礼包2（梦实）",106
"恭喜发财礼包1（方实）",107
"恭喜发财礼包2（梦实）",108
"遗忘河水滴",109
"烈焰格拉卡",110
"幸福冒险家产包",111
"人偶剧团产包1（鬼剑士）",112
"人偶剧团小型产包1（鬼剑士）",113
"人偶剧团推进器",114
"人偶剧团产包2（鬼剑士）",115
"人偶剧团小型产包2（鬼剑士）",116
"人偶剧团产包1（格斗家）",117
"人偶剧团产包2（格斗家）",118
"人偶剧团产包2（格斗家）",119
"人偶剧团小型产包1（神枪手）",120
"人偶剧团产包1（神枪手）",121
"人偶剧团产包1（魔法师）",122
"人偶剧团产包2（神枪手）",123
"人偶剧团小型产包2（魔法师）",124
"人偶剧团产包1（魔法师）",125
"",126
"人偶剧团产包2（魔法师）",127
"10000点购物券",128
"人偶剧团产包1（圣职者）",129
